Authors,Publication Year,Study,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression Units,Sample Size,Stat Test,Test Statistic,df1,df2,p-value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
"Andrews, TJ; Summers, CH",1996,Andrews and Summers 1996,Anolis carolinensis,vertebrate,light green,,dark green,body,melanocortin,,mature,both,captivity,year round,,attacks/bites,55,F,16.393,5,53,0.001,,,,,,,,,,,
"Bailey, A; Eberly, LE; Packer, C",2015,Bailey et al 2015,Papio anubis,vertebrate,light grey,,dark grey,body,melanocortin,,mature,females,captivity,breeding,,rank,30,X2,1.8,1,,1,,,,,,,,,,,
"Baird, TA; Baird, TD; Shine, R",2013,Baird et al 2013,Intellagama lesueurii,vertebrate,drab red,,bright red,ventral,unknown,,mature,males,field,breeding,,latency seconds,38,X2,2.95,37,,0.086,,,,,,,,,,,
"Balzarini, V; Taborsky, M; Villa, F; Frommen, JG",2017,Balzarini et al 2017,Neolamprologus pulcher,vertebrate,no stripes,light stripes,dark stripes,body,melanocortin,,mature,both,captivity,year round,,score,30,X2,6.84,2,,0.009,,,,,,,,,,,
"BARLOW, GW; SIRI, P",1994,Barlow and Siri 1994,Cichlasoma citrinellum,vertebrate,white,,gold,body,melanocortin,,juvenile,both,captivity,year round,,attacks,30,F,2.685,1,27,0.388,,,,,,,,,,,
"Barron, DG; Webster, MS; Schwabl, H",2015,Barron et al 2015,Malurus melanocephalus,vertebrate,brown,,black,body,melanocortin,,mature,males,field,breeding,,territorality,48,F,4.03,1,44,0.05,,,,,,,,,,,
"Baube, CL",1997,Baube 1997,Gasterosteus aculeatus,vertebrate,dull red,,bright red,body,carotenoid,,mature,males,lab,breeding,,latency seconds,170,X2,10.741,1,,0.001,,,,,,,,,,,
"Beck, ML; Davies, S; Sewall, KB",2018,Beck et al 2015,Melospiza melodia,vertebrate,light brown,,dark brown,body,melanocortin,,mature,males,field,breeding,,score,67,F,4.877,1,65,0.035,,,,,,,,,,,
"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998,Cichlasoma nigrofasciatum,vertebrate,dull orange,,bright orange,ventral,carotenoid,,mature,females,lab,year round,,approach/bite,13,r,,,,,-0.65,,,,,,,,,,
"Boerner, M; Kruger, O",2009,Boerner and Kruger 2009,Buteo buteo,vertebrate,light,intermediate,dark,body,melanocortin,,mature,both,field,breeding,,score,42,F,3.306,2,51,0.045,,,,,,,,,,,
