,Authors,Publication.Year,Study,Species,Geographic,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Social_Rank_Controlled,Obs_vs_Exp,Condition_Stats,Condition,Age,Sex,Location,Season,Plasticity,Aggression,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
1,"Lehtonen, TK",2014,Lehtonen 2014 - 1,Amphilophus sagittae,"Crater Lake Xiloa, Nicaragua",vertebrate,gold,,dark,body,melanocortin,eumelanin,dummy used,Exp,Covariate,Length,mature,males,field,breeding,No,Direct,rate/5 min,45,mean,NA,NA,NA,NA,NA,21,2.655,NA,NA,2.862,24,3.07,NA,NA,2.207
2,"Lehtonen, TK",2014,Lehtonen 2014 - 2,Amphilophus sagittae,"Crater Lake Xiloa, Nicaragua",vertebrate,gold,,dark,body,melanocortin,eumelanin,dummy used,Exp,Covariate,Length,mature,females,field,breeding,No,Direct,rate/5 min,38,mean,NA,NA,NA,NA,NA,15,3.463,NA,NA,2.677,23,4.446,NA,NA,1.928
3,"Andrews, TJ; Summers, CH",1996,Andrews and Summers 1996 - 1,Anolis carolinensis,"Buck's Live Animals, La Place, LA",vertebrate,light green,,dark brown,body,melanocortin,eumelanin,isolated,Exp,NS,Weight and length,mature,both,captivity,year round,Plastic,Direct,attacks/bites no male present,18,t,1.92,16,NA,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Andrews, TJ; Summers, CH",1996,Andrews and Summers 1996 - 2,Anolis carolinensis,"Buck's Live Animals, La Place, LA",vertebrate,light green,,dark brown,body,melanocortin,eumelanin,isolated,Exp,NS,Weight and length,mature,both,captivity,year round,Plastic,Direct,attacks/bites with male present,18,F,16.393,5,53,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Deckel, AW; Jevitts, E",1997,Deckel and Jevitts 1997 - 1,Anolis carolinensis,Local Suppliers,vertebrate,green,,brown,body,melanocortin,eumelanin,isolated,Exp,uncontrolled,None measured,mature,males,captivity,year round,Plastic,Direct,headbobs,100,r,NA,NA,NA,0.01,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Deckel, AW; Jevitts, E",1998,Deckel and Jevitts 1997 - 2,Anolis carolinensis,Local Suppliers,vertebrate,green,,brown,body,melanocortin,eumelanin,isolated,Exp,uncontrolled,None measured,mature,males,captivity,year round,Plastic,Direct,headbobs and dewlaps,100,r,NA,NA,NA,N/A,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Deckel, AW; Jevitts, E",1999,Deckel and Jevitts 1997 - 3,Anolis carolinensis,Local Suppliers,vertebrate,green,,brown,body,melanocortin,eumelanin,isolated,Exp,uncontrolled,None measured,mature,males,captivity,year round,Plastic,Direct,aggressive movements,100,r,NA,NA,NA,N/A,0.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Deckel, AW; Jevitts, E",1997,Deckel and Jevitts 1997 - 4,Anolis carolinensis,Local Suppliers,vertebrate,green,,brown,body,melanocortin,eumelanin,isolated,Exp,uncontrolled,None measured,mature,males,captivity,year round,Plastic,Direct,threated bites,100,r,NA,NA,NA,0.05,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"Clement, TS; Parikh, V; Schrumpf, M; Fernald, RD",2005,Clement et al 2005,Astatotilapia burtoni,"Lake Tanaganyika, Tanzania",vertebrate,drab blue/yellow,,bright blue/yellow,body,carotenoid,N/A,video ,Exp,"NS (F1,10=0.628, p = 0.451)",Size Matched -activity level same,mature,males,lab,year round,Plastic,Direct,territorial,28,mean,NA,NA,NA,NA,NA,5,0.382,NA,0.144,0.322,5,0.732,NA,0.028,0.063
10,"Korzan, WJ; Robison, RR; Zhao, S; Fernald, RD",2008,Korzan et al 2008,Astatotilapia burtoni,"Lake Tanaganyika, Tanzania",vertebrate,blue,,yellow,body,carotenoid,N/A,new individuals,Exp,Size matched,Weight and growth rate,mature,males,lab,year round,Plastic,Direct,dominance index,16,t,3.1,15,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Renn, SCP; Fraser, EJ; Aubin-Horth, N; Trainor, BC; Hofmann, HA",2012,Renn et al 2012,Astatotilapia burtoni,"Lake Tanaganyika, Tanzania",vertebrate,no black,,black,face,melanocortin,eumelanin,uncontrolled,Obs,Size matched,Weight and length,mature,females,lab,year round,No,Direct,number of chases,36,mean,NA,NA,NA,NA,NA,21,0.84,NA,0.16,0.733212111,15,11.46,NA,0.86,3.330765678
