"","Authors","Publication.Year","Study","Species","Vert_Invert","Color1","Color2","Color3","Pattern","Classification","Eu_Pheomelanin","Age","Sex","Location","Season","Plasticity","Aggression.Units","Sample.Size","Stat.Test","Test.Statistic","df1","df2","p.value","r","n1","mean1","var1","se1","sd1","n2","mean2","var2","se2","sd2","rho","Fisher_Z","SE","Weight"
"1","Lehtonen, TK",2014,"Lehtonen 2014 - 1","Amphilophus sagittae","vertebrate","gold","","dark","body","melanocortin","eumelanin","mature","males","field","breeding","Plastic","rate/5 min",80,"F",1.044,1,80,"0.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0128818913182962,0,0,0
"2","Lehtonen, TK",2014,"Lehtonen 2014 - 2","Amphilophus sagittae","vertebrate","gold","","dark","body","melanocortin","eumelanin","mature","females","field","breeding","Plastic","rate/5 min",84,"F",0.552,1,79,"0.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00693885760257442,0,0,0
"3","Andrews, TJ; Summers, CH",1996,"Andrews and Summers 1996","Anolis carolinensis","vertebrate","light green","","dark green","body","melanocortin","eumelanin","mature","both","captivity","year round","Plastic","attacks/bites",55,"F",16.393,5,53,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.607305597747564,0,0,0
"4","Deckel, AW; Jevitts, E",1997,"Deckel and Jevitts 1997","Anolis carolinensis","vertebrate","green","","brown","body","melanocortin","eumelanin","mature","males","captivity","year round","Plastic","headbobs and bites",10,"t",-2.4,9,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.624695047554424,0,0,0
"5","Clement, TS; Parikh, V; Schrumpf, M; Fernald, RD",2005,"Clement et al 2005","Astatotilapia burtoni","vertebrate","drably","","bright","body","melanocortin","eumelanin","mature","males","lab","year round","Plastic","territorial",28,"F",6.75,1,27,"0.029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,0,0
"6","Dijkstra, PD; Maguire, SM; Harris, RM; Rodriguez, AA; DeAngelis, RS; Flores, SA; Hofmann, HA",2017,"Dijkstra et al 2017","Astatotilapia burtoni","vertebrate","blue","","yellow","body","melanocortin","eumelanin","mature","males","lab","year round","Plastic","chase and bites",20,"r",NA,NA,NA,"0.003",0.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632,0,0,0
"7","Korzan, WJ; Robison, RR; Zhao, S; Fernald, RD",2008,"Korzan et al 2008","Astatotilapia burtoni","vertebrate","blue","","yellow","body","melanocortin","eumelanin","mature","males","lab","year round","Plastic","dominance index",16,"t",3.1,15,NA,"0.007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.624893326938946,0,0,0
"8","Renn, SCP; Fraser, EJ; Aubin-Horth, N; Trainor, BC; Hofmann, HA",2012,"Renn et al 2012","Astatotilapia burtoni","vertebrate","no black","","black","face","melanocortin","eumelanin","mature","females","lab","year round","Plastic","number of chases",36,"mean",NA,NA,NA,"",NA,21,0.84,NA,0.16,0.733212111,15,11.46,NA,0.86,3.330765678,-0.910498163857839,0,0,0
"9","Boerner, M; Kruger, O",2009,"Boerner and Kruger 2009","Buteo buteo","vertebrate","light","intermediate","dark","body","melanocortin","eumelanin","mature","both","field","breeding","No","score",42,"F",3.306,2,51,"0.045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114767756717351,0,0,0
"10","Chaine, AS; Lyon, BE",2008,"Chaine and Lyon 2008","Calamospiza melanocorys","vertebrate","light","","dark","wings","melanocortin","eumelanin","mature","males","field","breeding","No","territorial",369,"t",2.84,368,NA,"0.007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146449042183945,0,0,0
