Authors,Publication.Year,Study,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
"Lehtonen, TK",2014,Lehtonen 2014 - 1,Amphilophus sagittae,vertebrate,gold,,dark,body,melanocortin,eumelanin,mature,males,field,breeding,No,rate/5 min,45,mean,NA,NA,NA,NA,NA,21,2.655,NA,NA,2.862,24,3.07,NA,NA,2.207
"Lehtonen, TK",2014,Lehtonen 2014 - 2,Amphilophus sagittae,vertebrate,gold,,dark,body,melanocortin,eumelanin,mature,females,field,breeding,No,rate/5 min,38,mean,NA,NA,NA,NA,NA,15,3.463,NA,NA,2.677,23,4.446,NA,NA,1.928
"Andrews, TJ; Summers, CH",1996,Andrews and Summers 1996,Anolis carolinensis,vertebrate,light green,,dark brown,body,melanocortin,eumelanin,mature,both,captivity,year round,Plastic,attacks/bites,18,t,1.92,16,NA,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deckel, AW; Jevitts, E",1997,Deckel and Jevitts 1997 - 1,Anolis carolinensis,vertebrate,green,,brown,body,melanocortin,eumelanin,mature,males,captivity,year round,Plastic,headbobs and bites,10,r,NA,NA,NA,0.01,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deckel, AW; Jevitts, E",1997,Deckel and Jevitts 1997 - 2,Anolis carolinensis,vertebrate,green,,brown,body,melanocortin,eumelanin,mature,males,captivity,year round,Plastic,threated bites,10,r,NA,NA,NA,0.05,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clement, TS; Parikh, V; Schrumpf, M; Fernald, RD",2005,Clement et al 2005,Astatotilapia burtoni,vertebrate,drab blue/yellow,,bright blue/yellow,body,carotenoid,N/A,mature,males,lab,year round,Plastic,territorial,28,mean,NA,NA,NA,NA,NA,5,0.382,NA,0.144,0.322,5,0.732,NA,0.028,0.063
"Dijkstra, PD; Maguire, SM; Harris, RM; Rodriguez, AA; DeAngelis, RS; Flores, SA; Hofmann, HA",2017,Dijkstra et al 2017,Astatotilapia burtoni,vertebrate,blue,,yellow,body,carotenoid,N/A,mature,males,lab,year round,Plastic,chase and bites,20,r,NA,NA,NA,0.003,0.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korzan, WJ; Robison, RR; Zhao, S; Fernald, RD",2008,Korzan et al 2008,Astatotilapia burtoni,vertebrate,blue,,yellow,body,carotenoid,N/A,mature,males,lab,year round,Plastic,dominance index,16,t,3.1,15,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Renn, SCP; Fraser, EJ; Aubin-Horth, N; Trainor, BC; Hofmann, HA",2012,Renn et al 2012,Astatotilapia burtoni,vertebrate,no black,,black,face,melanocortin,eumelanin,mature,females,lab,year round,No,number of chases,36,mean,NA,NA,NA,NA,NA,21,0.84,NA,0.16,0.733212111,15,11.46,NA,0.86,3.330765678
"Boerner, M; Kruger, O",2009,Boerner and Kruger 2009 - 1,Buteo buteo,vertebrate,light,intermediate,dark,body,melanocortin,eumelanin,mature,males,field,breeding,No,score,54,mean,NA,NA,NA,NA,NA,16,1.728,NA,0.141,0.564,7,0.57,NA,0.368,0.9736
"Boerner, M; Kruger, O",2009,Boerner and Kruger 2009 - 2,Buteo buteo,vertebrate,light,intermediate,dark,body,melanocortin,eumelanin,mature,females,field,breeding,No,score,54,mean,NA,NA,NA,NA,NA,20,0.632,NA,0.176,0.7871,4,1.71,NA,0.255,0.51
"Chaine, AS; Lyon, BE",2008,Chaine and Lyon 2008 - 1,Calamospiza melanocorys,vertebrate,light,,dark,rump,melanocortin,eumelanin,mature,males,field,breeding,No,territorial,94,t,2.84,46,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaine, AS; Lyon, BE",2008,Chaine and Lyon 2008 - 2,Calamospiza melanocorys,vertebrate,light,,dark,body,melanocortin,eumelanin,mature,males,field,breeding,No,territorial,94,t,2.11,46,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kim, YK; Lee, SS; Oh, SI; Kim, JS; Suh, EH; Houpt, KA; Lee, HC; Lee, HJ; Yeon, SC",2010,Kim et al 2010,Canis lupus familiaris,vertebrate,white,,fawn,body,melanocortin,pheomelanin,both,both,domestic,year round,No,reactivity,51,mean,NA,NA,NA,NA,NA,20,1.234,NA,NA,0.625,31,1.344,NA,NA,0.36
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 1,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,strange dogs,428,t,2.582,427,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 10,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,when in restricted spaces,423,t,2.4,422,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 11,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,meal times,426,t,3.492,425,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
