,Authors,Publication.Year,Study,Class,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2,rho,SE_r,Fisher_Z,SE_Z,Weight
1,"BRACE, RC",1981,Brace 1981 - 3,,Phymactis clematis,invertebrate,green,,red,ventral,carotenoid,N/A,mature,both,captivity,year round,No,winner,14,X2,2.57,1,NA,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428452364,0.260836566,0.457999521,0.301511345,3.31662479
2,"BRACE, RC",1981,Brace 1981 - 2,,Phymactis clematis,invertebrate,green,,red,ventral,carotenoid,N/A,mature,both,captivity,year round,No,first attacker,18,X2,0.22,1,NA,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11055416,0.248467525,0.111007898,0.25819889,3.872983346
3,"BRACE, RC",1981,Brace 1981 - 1,Anthozoa,Phymactis clematis,invertebrate,green,,red,ventral,carotenoid,N/A,mature,both,captivity,year round,No,first aggressor,29,X2,4.17,1,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379200611,0.178076856,0.399125679,0.196116135,5.099019514
4,"Cross, FR; Jackson, RR; Taylor, LA",2020,Cross et al. 2020,Archnida,Evarcha culicivora,invertebrate,black,,bright red,face,melanocortin,pheomelanin,mature,males,captivity,year round,Plastic,wilcoxon,11,t,3.52,10,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93233433,0.120532475,1.675952543,0.353553391,2.828427125
5,"Petrocelli, I; Ricciardi, G; de Souza, AR; Ermanni, A; Ninu, A; Turillazzi, S",2015,Petrocelli et al. 2015,,Polistes gallicus,invertebrate,small black,,large black,head,melanocortin,eumelanin,mature,females,captivity,year round,No,dominance,42,X2,4.011,1,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.309030743,0.150374532,0.319473459,0.160128154,6.244997998
6,"Moore, MP; Martin, RA",2016,Moore and Martin 2016,,Pachydiplax longipennis,invertebrate,less black,,more black,wing tips,melanocortin,eumelanin,mature,males,field,year round,No,contests won,155,X2,6.5,1,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204781552,0.079131913,0.207718345,0.081110711,12.32882801
7,"Hooper, RE; Plaistow, SJ; Tsubaki, Y",2006,Hooper et al. 2006,Insecta,Mnais costalis,invertebrate,clear,,orange,wings,carotenoid,N/A,mature,males,field,year round,Plastic,time,56,F,5.75,2,55,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172932331,0.134032501,0.174687821,0.137360564,7.280109889
8,"Franklin, AM; Donatelli, CM; Culligan, CR; Tytell, ED",2019,Franklin et al. 2019,Malacostraca,Neogonodactylus oerstedii,invertebrate,light meral spots,,dark meral spots,legs,unknown,N/A,mature,both,lab,year round,No,strike,18,X2,5.44,1,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549747417,0.208832735,0.618019259,0.25819889,3.872983346
9,"Bailey, A; Eberly, LE; Packer, C",2015,Bailey et al. 2015,,Papio anubis,vertebrate,light grey,,dark grey,body,melanocortin,eumelanin,mature,females,captivity,breeding,No,rank,30,X2,1.8,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244948974,0.183225076,0.250032246,0.19245009,5.196152423
10,"Carola, V; Perlas, E; Zonfrillo, F; Soini, HA; Novotny, MV; Gross, CT",2014,Carola et al. 2014,,Mus musculus,vertebrate,agouti,,non-agouti,body,melanocortin ,pheomelanin,mature,both,domestic,year round,No,number of attacks,20,F,5.4,1,18,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230769231,0.229340305,0.235001815,0.242535625,4.123105626
