"Metric","Original","Corrected"
"k (rows used)","169","147"
"Fisher_Z posterior mean","0.2469","0.2953"
"Fisher_Z 95% CI","[0.0255, 0.4804]","[0.0363, 0.5910]"
"r (back-transformed)","0.2420","0.2870"
"r 95% CI","[0.0255, 0.4465]","[0.0363, 0.5306]"
"95% prediction interval (Fisher_Z)","[-0.4311, 0.9249]","[-0.7381, 1.3287]"
"Variance: phylogeny","0.0081","0.0770"
"Variance: study (Authors)","0.0261","0.4767"
"Variance: sampling","0.9641","0.3619"
"Variance: residual","0.0018","0.0844"
"I^2 total","0.0359","0.6381"
"DIC","-280.42","-17.39"
