"Dataset","Term","Estimate","CI","pMCMC"
"Original","Stat.TestF","0.0895","[-0.1687, 0.3503]","0.4152"
"Original","Stat.Testmean","0.1646","[-0.1183, 0.4363]","0.2024"
"Original","Stat.Testr","0.0488","[-0.2708, 0.3649]","0.7448"
"Original","Stat.Testt","0.4883","[0.2071, 0.7834]","0.0024"
"Original","Stat.TestX2","0.3890","[0.1217, 0.6437]","0.0104"
"Corrected","Stat.TestF","0.1389","[-0.2179, 0.5618]","0.4392"
"Corrected","Stat.Testmean","0.2571","[-0.1158, 0.6795]","0.1664"
"Corrected","Stat.Testr","-0.0043","[-0.4216, 0.4637]","0.9488"
"Corrected","Stat.Testt","0.6997","[0.3040, 1.1362]","0.0008"
"Corrected","Stat.TestX2","0.3305","[-0.0800, 0.7126]","0.0936"
