"Method","Term","Estimate","CI","p"
"Raw rho + MCMCglmm","Stat.TestF","0.1175","[-0.1405, 0.3774]","0.2912"
"Raw rho + MCMCglmm","Stat.Testmean","0.1462","[-0.1169, 0.4266]","0.2248"
"Raw rho + MCMCglmm","Stat.Testr","-0.0180","[-0.2983, 0.2802]","0.8784"
"Raw rho + MCMCglmm","Stat.Testt","0.5320","[0.2649, 0.8299]","0.0000"
"Raw rho + MCMCglmm","Stat.TestX2","0.3087","[0.0342, 0.5570]","0.0328"
"Fisher Z + metafor","Stat.TestF","0.1265","[-0.2101, 0.4631]","0.4613"
"Fisher Z + metafor","Stat.Testmean","0.2601","[-0.0831, 0.6034]","0.1374"
"Fisher Z + metafor","Stat.Testr","0.0198","[-0.3605, 0.4000]","0.9188"
"Fisher Z + metafor","Stat.Testt","0.6884","[0.3131, 1.0637]","0.0003"
"Fisher Z + metafor","Stat.TestX2","0.3200","[-0.0206, 0.6606]","0.0656"
"Raw r + metafor","Stat.TestF","0.1094","[-0.1092, 0.3281]","0.3265"
"Raw r + metafor","Stat.Testmean","0.1488","[-0.0780, 0.3755]","0.1985"
"Raw r + metafor","Stat.Testr","0.0006","[-0.2608, 0.2620]","0.9963"
"Raw r + metafor","Stat.Testt","0.5451","[0.2980, 0.7922]","0.0000"
"Raw r + metafor","Stat.TestX2","0.3037","[0.0757, 0.5318]","0.0090"
